source,target
CatatanAli07,satoedoeasatoe
CatatanAli07,Dh4n1eLee
martabaya,susipudjiastuti
martabaya,anti_renacuajo CNNIndonesia
galempok,susipudjiastuti makLambeTurah
klanwuhan,susipudjiastuti kocokreok
udesty3,akimoodz
HenkMizell,okezonenews
HenkMizell,hariankompas
HenkMizell,okezonenews
HenkMizell,hariankompas
HenkMizell,detikcom detikfinance
HenkMizell,okezonenews
HenkMizell,liputan6dotcom
HenkMizell,liputan6dotcom
HenkMizell,liputan6dotcom
HenkMizell,detikcom detikfinance
HenkMizell,tempodotco
ancot_indonesia,RadioElshinta
ancot_indonesia,DKIJakarta aniesbaswedan JSCLounge BangAriza dinkesJKT
ancot_indonesia,syahganda tribunnews
ancot_indonesia,TirtoID
ancot_indonesia,Bams_1eng
ancot_indonesia,NayDonuts
ancot_indonesia,MARQUEZ__93 mohmahfudmd
ancot_indonesia,TirtoID
ancot_indonesia,mohmahfudmd
ancot_indonesia,PemerintahPro
ancot_indonesia,ganjarpranowo
ancot_indonesia,__GoldenAngel_
ancot_indonesia,TirtoID
ancot_indonesia,provjateng
ancot_indonesia,D14h_S03w4rn05
ancot_indonesia,AksiLangsung
ancot_indonesia,Pencerah__
ancot_indonesia,edralynnn
ancot_indonesia,kodimbardo1
ancot_indonesia,TirtoID
ancot_indonesia,AriestaRiico_
ancot_indonesia,leksa
ancot_indonesia,RadioElshinta
ancot_indonesia,umar_hasibuan75 yunartowijaya
ancot_indonesia,geloraco
ancot_indonesia,RadioElshinta
ancot_indonesia,asumsico
ancot_indonesia,CNNIndonesia
ancot_indonesia,jxlproject
ancot_indonesia,seruanhl
ancot_indonesia,drpriono1 jokowi KemenkesRI
ancot_indonesia,Bisniscom
ancot_indonesia,tjhinfar21 aniesbaswedan
ancot_indonesia,ilhambala
ancot_indonesia,PatubMbel ganjarpranowo
ancot_indonesia,RadioElshinta
ancot_indonesia,VIVAcoid
ancot_indonesia,HukumDan aniesbaswedan DKIJakarta jokowi
ancot_indonesia,Bisniscom
ancot_indonesia,RestaJunior
ancot_indonesia,tjhinfar21
ancot_indonesia,ferizandra aniesbaswedan ZAEffendy Quvvatt zarazettirazr
ancot_indonesia,mrshananto
ancot_indonesia,Bisniscom
ancot_indonesia,andreasharsono jokowi
ancot_indonesia,txtdrpemerintah
ancot_indonesia,TirtoID
ancot_indonesia,idimafla republikaonline
ancot_indonesia,Dinda__90
ancot_indonesia,e100ss
ancot_indonesia,geloraco
ancot_indonesia,Ferysplace
ancot_indonesia,efenerr
ancot_indonesia,msaid_didu
ancot_indonesia,ChusnulSyantik
ancot_indonesia,VIVAcoid
ancot_indonesia,WagimanDeep212 ganjarpranowo
ancot_indonesia,CNNIndonesia
ancot_indonesia,FerdinandHaean3
ancot_indonesia,AriestaRiico_
ancot_indonesia,e100ss
ancot_indonesia,Sharda__U
ancot_indonesia,FerdinandHaean3
ancot_indonesia,mohmahfudmd
ancot_indonesia,demoSoCRAZY aniesbaswedan
ancot_indonesia,e100ss
ancot_indonesia,aw3126
ancot_indonesia,julio_PTG aniesbaswedan
ancot_indonesia,_4m4re
ancot_indonesia,qronoz aniesbaswedan
ancot_indonesia,wordfangs
ancot_indonesia,GeiszChalifah
ancot_indonesia,untukmu25
ancot_indonesia,republikaonline
ancot_indonesia,AV4tarPemburu aniesbaswedan
ancot_indonesia,jr_kw19
ancot_indonesia,syahganda
ancot_indonesia,AbdRachim12 demoSoCRAZY aniesbaswedan
ancot_indonesia,fadlizon
ancot_indonesia,AdhieMassardi
ancot_indonesia,Zacki__Z
ancot_indonesia,Bisniscom
ancot_indonesia,VinoGBastian__
ancot_indonesia,TirtoID
ancot_indonesia,zarazettirazr
ancot_indonesia,WahabisLokal jokowi
ancot_indonesia,sociotalker
ancot_indonesia,erna_st
ancot_indonesia,julio_PTG aniesbaswedan
ancot_indonesia,FiersaBesari
ancot_indonesia,Andiretaks
ancot_indonesia,fadjroeL
ancot_indonesia,BNPB_Indonesia
ancot_indonesia,idtodayco
ancot_indonesia,e100ss
ancot_indonesia,Dandhy_Laksono
ancot_indonesia,SoundOfYogi
ancot_indonesia,YongL4dy idtodayco
ancot_indonesia,ILCtv1 aniesbaswedan
ancot_indonesia,viia_narasi13
ancot_indonesia,firdzaradiany
ancot_indonesia,geloraco
ancot_indonesia,dek_cilik aniesbaswedan
ancot_indonesia,firdzaradiany
ancot_indonesia,ridwankamil BimaAryaS
fandifhuh,GuardianNKRI DiniHrdianti
fandifhuh,Hskaimin IndosatCare
fandifhuh,ExJapemethe Gandos_Akek medcom_id
fandifhuh,KAMMOES SaptaAtmadja
endar82,carulukswulan ridwannukasep DcabIndonesia TulipKuning5 Arsymuhammad9 luthfivip detikcom
endar82,ridwannukasep DcabIndonesia TulipKuning5 Arsymuhammad9 luthfivip detikcom
endar82,ridwannukasep DcabIndonesia TulipKuning5 Arsymuhammad9 luthfivip detikcom
endar82,DcabIndonesia ridwannukasep TulipKuning5 Arsymuhammad9 luthfivip detikcom
oshima019,toegiono
a_me_name,basuki_btp
ANGIN131,HumasPaskot11 wiwikherma ThohirAkbar kasiyono34yahoo pitu_tujuh Sektortegalsar1 jogja_kuat Ahmadduha20 Anta_sena212 ridoyando85 Ayahamutnpudib1 DjokoSa03047097
gilangganesha2,dhannyandriany
ridwannukasep,endar82 DcabIndonesia TulipKuning5 Arsymuhammad9 luthfivip detikcom
tengamalam,SirSanndy
erroyh,gadisresidu_b3
kungaiko,gadisresidu_b3
yanyuser,susipudjiastuti
EleJokow,susipudjiastuti
hujanrindu17,YouTube
kemitris,idtodayco
cilakabangsaku,susipudjiastuti
Budi_lahap,erickthohir
rackarnivore,KangopeNew
dioyudha2,ElninoZaldi susipudjiastuti
dioyudha2,syahirularif susipudjiastuti
WiberMelayu6,susipudjiastuti
yahkosonghuh,cahyasshinta
betara01,susipudjiastuti
rijoel_chan,susipudjiastuti msaid_didu
surodilagan,mantriss
surodilagan,jumhurhidayat mohmahfudmd gusmusgusmu saidaqil
gamapila,BigAlphaID
MadeSuardana,BigAlphaID
inMwetrust,danieRobin
RealHD0310,BPJSTKinfo jokowi KemnakerRI
kikilicious_,susipudjiastuti
rahmaniarbaftim,JamalBoegis
rahmaniarbaftim,geloraco
kenn_maizz,ovan_ghozali1
andJust63051101,susipudjiastuti susipudjiastuti
ipuds,susipudjiastuti
akuntwittet,Sifahrn02081 outofcontext_id rommyaw
terpakuwaktu,student_fess
denmas99366403,susipudjiastuti
askmearmything,jinniesteacher1
adi_fir,susipudjiastuti
basukids1,satoedoeasatoe
nasibaik,septian ainunnajib
alfinamiruddin,susipudjiastuti
andyal81,susipudjiastuti
teliaz223,detikcom
teliaz223,detikcom
maniakpolitik,aftara_ meow_leader rzlpangestu96 susipudjiastuti
KochengMikir,susipudjiastuti
davidbimantoro,seorangmuggles Oni_Rasyad susipudjiastuti
davidbimantoro,susipudjiastuti susipudjiastuti
davidbimantoro,Oni_Rasyad seorangmuggles susipudjiastuti
RiozPharoz,susipudjiastuti
3cko_P12,susipudjiastuti susipudjiastuti
bangking03,susipudjiastuti
YRuhiyat3,CNNIndonesia
YRuhiyat3,airlangga_hrt jokowi Kiyai_MarufAmin
jemmaamanda,pencarikerang
Budiawan1985,agoes_mochagus susipudjiastuti
suryaamriza,susipudjiastuti
akira_sby99,susipudjiastuti
Oni_Rasyad,davidbimantoro seorangmuggles susipudjiastuti
samandjamie,susipudjiastuti
Jenar3M,jokowi
Bonarpss,cnbcindonesia
dickyrevolution,susipudjiastuti
M_Saputro_,susipudjiastuti
AGoeci,susipudjiastuti
Sunaryo65024859,susipudjiastuti
agoes_mochagus,susipudjiastuti susipudjiastuti
klikandri,susipudjiastuti
yuswohady,krismoerwanto SydSalesman onokarsono Ramadian40 Adi1susilo
yuswohady,hadikaes rezasixeleven
pebibuy,fransedor fairizabila
akbar_purnomoo,JSTrikukuh purnomo_heru01 dayatia
ZanaApriyatna,LaksmiDmayang
detikcom,detikfinance
detikcom,detikfinance
detikcom,detikfinance
detikcom,detikfinance
detikcom,detikfinance
detikcom,detikfinance
detikcom,detikfinance
detikcom,detikfinance
detikcom,detikfinance
detikcom,detikfinance
LaksmiDmayang,ZanaApriyatna
Beben_17068_HK,CNNIndonesia
04_adisetiawan,medcom_id
04_adisetiawan,BigAlphaID
SyarifullahDja1,prastow
araginggang72,RBonafida _antaresh kang_mul19 _gussur cakaponlee masdidong RudolfSael AbidinBoryta_AB TulusG1 embunsorehari BaasDee2 gorengan_27 GreenyTNT berkelip_ Even1508 Bakoto71 ArdiRasyid07 Lima8Satu mienz65
NcuhiRiwo,MarlanySiek
NcuhiRiwo,kring_pajak
rrrrachma,aRdy_NET
SyifaniIkrimah,NewsMuslimah
d14napink,pingoe12 detikcom detikinet
ErikRidzki,elisa_jkt
AjiKusuma999,CNNIndonesia
StrawHatAce,bintangemon
polcaclown,Mochii_Melody
bulolnanon,budppe
bulolnanon,NoxyLozy
aakuWUMBO,Callmesugarrr
Mochii_Melody,polcaclown
Waras4ever,VIVAcoid haryazid
Waras4ever,tempodotco
Waras4ever,mantriss
Waras4ever,msaid_didu
Waras4ever,OposisiCerdas
Hakiraja4,nadiaapee
goodgirlsays,pikachutips
RakyatMerdeka99,KemenkeuRI
RakyatMerdeka99,rineaudrine
RakyatMerdeka99,jokowi
bettersop,megaalviannn jokowi
AmmarGill,glrhn
AmmarGill,mpokgaga
MzRoel,Quvvatt
ossasnatsu1,_frnnd14
dewantara_adjie,mohmahfudmd YouTube
GrandLight88,Adi_8002 vinamvr ustadtengkuzul RamliRizal msaid_didu
GrandLight88,cebong_hunter __danu_ Kaiden_id MbahLawu2 MudasirRomini Dennysiregar7 PKSejahtera
capedcrussader,northedownpour
yehetetew,AREAJULID
yehetetew,AREAJULID
SuhardiS7,cnbcindonesia susipudjiastuti
amirudin291,Bisniscom
yolahngapsi,riza_ajir Dandhy_Laksono VeronicaKoman
yolahngapsi,Almangimburu konsikon1 Hendyzhykora84 Dandhy_Laksono
wearetreasury,mememekanlirik
Abu__Azhary,HukumDan
Abu__Azhary,ridwanhr
TahuBangJek,fajriasaliha listijanah dyanasafira syifafauziah_ha seilasativa rilylir mutiah128
adiebombad,Tokocrypto harmonyprotocol bitcoin_clara emaline904 ken_minchie
babyminwon,nunaforlyfe
yunaskie1,ManUtd_ID
seppelire,PolJokesID
mujahidah_rahmi,YouTube
mujahidah_rahmi,YouTube
Adhar28_,PolJokesID
daniadler33,denismalhotra
nurulmp,YouTube
nurulmp,YouTube
rywkkkkk,Fafaelfina_
PratamaUnggah,cnbcindonesia
NNdrae,sociotalker jokowi jokowi jokowi
NNdrae,MahaD3w4 AndiAra65483006 jokowi jokowi
InazkyE,Chaterinee_08
8bungabening8,siluetrere
TradingDiary2,gusbagussss Victor43579668 Victor43579668
TradingDiary2,rgoestama
DetaxId,DetaxId
DetaxId,DetaxId
bodoamatlahegp,kewlsejagad detikcom detikfinance
alihaidir_,PolJokesID
khumairara,bbibimbaps
Ihzzzaa,PolJokesID
kewlsejagad,bodoamatlahegp detikcom detikfinance
Victor43579668,TradingDiary2
Ghorib13,Abu__Azhary kafiradikalis kafiradikalis
Ghorib13,AsepSuryawan6 msaid_didu
wendysa85396804,cnbcindonesia
RadioDakta,IndefEconomics
Irenecutemom,jokowi
kolorna19,msaid_didu
kolorna19,AnthonyBudiawan msaid_didu RamliRizal panca66
kolorna19,RasyidDemokrat jokowi
kolorna19,msaid_didu
oncomsunda81,kharimakharima1
JajangRidwanK,johnnydepp_ok Jayadih28941086 SeruniPuspaAlam cimimong150815 salahsambungya LOVE_AG4EVER SalmaBrecht YRadianto AdigunaAtmaja anto_winarno CINTADA__ __MV_llestari__
JajangRidwanK,johnnydepp_ok Jayadih28941086 SeruniPuspaAlam cimimong150815 salahsambungya LOVE_AG4EVER SalmaBrecht YRadianto AdigunaAtmaja anto_winarno CINTADA__ __MV_llestari__
JajangRidwanK,johnnydepp_ok Jayadih28941086 SeruniPuspaAlam cimimong150815 salahsambungya LOVE_AG4EVER SalmaBrecht YRadianto AdigunaAtmaja anto_winarno CINTADA__ __MV_llestari__
ShiroTakataka,bayhambay
AhmadShiddiqN,FaridM_21
Anisaran8,detikcom detikfinance aniesbaswedan jokowi
Anisaran8,yulie_yulie_ aniesbaswedan aniesbaswedan
Anisaran8,RestyLeseh
Anisaran8,geloraco aniesbaswedan
Anisaran8,_KingPurwa
Anisaran8,ipancahyadi CNNIndonesia
Anisaran8,jokowi
Anisaran8,_KingPurwa
Anisaran8,detikcom aniesbaswedan
belalangcerewet,achi_hartoyo
nurhendratmok11,RamliRizal
AV4tarPemburu,aniesbaswedan
AV4tarPemburu,jokowi
AV4tarPemburu,dprddkijakarta aniesbaswedan
AV4tarPemburu,aniesbaswedan
temenan_re,AREAJULID
Wicaksono_J,jokowi
ManusiaMerdek19,Bharatian2 wiwowibowo yunartowijaya
ManusiaMerdek19,nathanaja7 nakaluarbiasa yunartowijaya
ManusiaMerdek19,Dismas03021740 M_Asmara1701 msaid_didu ReflyHZ
ManusiaMerdek19,Bharatian2 wiwowibowo yunartowijaya
ManusiaMerdek19,Bharatian2 wiwowibowo yunartowijaya
ManusiaMerdek19,Bharatian2 wiwowibowo yunartowijaya
ManusiaMerdek19,nathanaja7 nakaluarbiasa yunartowijaya
ManusiaMerdek19,nathanaja7 nakaluarbiasa yunartowijaya
ManusiaMerdek19,RasMuha85008336 Vangelost2 FerdinandHaean3
Dismas03021740,ManusiaMerdek19 M_Asmara1701 msaid_didu ReflyHZ
MiftahJatim,KhofifahIP
mqrvm,nocontextwarung
AmbarBaw,sugiana73 HeyFaraaahhh yuana_kusuma Rifky_Mozzza andi_chairil
steven_kode289,choconachuu
NandaFaturrahm3,anggacandoenk
Berkarya_Info,anwarsaipul699
nazi_8303,drpriono1 jokowi
sirvaniii,ronin_minang
suara_irwan,irwan_fecho
tiyok_pras,msaid_didu
DR4nk_the,idtodayco
RatuRapinter,YanHarahap
4nsQy,YouTube
Agus_Solikhin_D,detikfinance
SThefreelancer,mudjajin TasyaShafira19 ZakyFarid Denish02132322 mohmahfudmd
lubab201,YouTube
Anastymedan,Reiza_Patters
Anastymedan,msaid_didu
Anastymedan,reformasimental
Anastymedan,geloraco
Anastymedan,TofaTofa_id ILCtv1
Anastymedan,KawanBaikKomodo Aryo82819046
Anastymedan,detikfinance
Anastymedan,luviku
Anastymedan,zarazettirazr
Anastymedan,UCIKINI DKIJakarta DivHumas_Polri
Anastymedan,NcuhiRiwo
Anastymedan,bepejeel
Anastymedan,Aline_Yoana_Tan
Anastymedan,fadlizon pln_123
Anastymedan,dianyounee RamliRizal
Anastymedan,geloraco
sudibyo_ekoo,RadioElshinta
Twetpunk,Stevaniehuangg
Twetpunk,aesth_whole pasuknakalsehat tempodotco
evadarkmn,Vida87848353 nasibwni dr_koko28
evadarkmn,ZombieLaper adityapriangga nyctophiliiiaaa txtdrpemerintah
evadarkmn,nadipahhh collegemenfess
vsdini,Pak_GuruSD Arnolduswea_ afinyulia zukhrufah youandwed
RahmatTubagusH,AdhimHernowo
RahmatTubagusH,rachmadionayub galihalbin
andre5292020,guepea212 mac_bull kumparan
andre5292020,hassan_duwe kumparan
andre5292020,Boyz2mens88 Iriandi19 Dennysiregar7
hilnoviani_,daraldilla
taliwang98,XANDERNEST kuysinema firdzaradiany chrisnayolandaa
Handinigh,YouTube
rdpn34,dr_koko28 KPU_ID
ahmdnhlr,SCMPNews
mbakseulgi,YouTube
inasaleha9,Yesikania4
MawarSolitaire,aka_abzhary
UmmZah,MMC_IDN
UmmZah,MMC_IDN
SweetMacarons2,MMC_IDN
SweetMacarons2,MMC_IDN
pipoywoi,GakkkPulanggg msvcxsz
Yunfazri1,detikcom
attheXdrivethru,inabritpop
Marthaerrr,Dn_________
rizkyaziz16,jokowi PerekonomianRI KemenkeuRI Kemenperin_RI
msafiimu,__MV_llestari__
mastotoping,Dennysiregar7
mastotoping,msaid_didu
mastotoping,detikcom detikfinance
fatinpane,msaid_didu
fatinpane,osolihin
fatinpane,LisaAmartatara3
Robanjogjangak,NNkri2020 AirinAirin_NZ
SaptaAtmadja,KAMMOES
MKrenthil,u_coffeeaddict KATADATAcoid
amaliaynm,taniacitras
SlamB17,Elina_Vay AtmaEric sherpa701 bonggbudiharto sherpa701 bonggbudiharto Elina_Vay
DukeWahyu,geloraco
Zumpio,aniesbaswedan KemenkeuRI
Danks05282530,liputan6dotcom
ocx12053,mariska_lubis JawaSandho AriesYossi Berkarya_Info
ocx12053,NJKamka
zanshiine,ariasusila chyxxi
KakiKakiKotak,sabdasaya
naassrl,TirtoID
naassrl,ardhitoprmn
KiSantang6,FaisalBasri
Gandawan,jokowi
Leqxi_Zhang,Moehmuhidin AgustinaYurisa VIVAcoid
_urdarlings,nanasmadoe
mariska_lubis,JawaSandho AriesYossi Berkarya_Info
mariska_lubis,AriesYossi JawaSandho Berkarya_Info
JawaSandho,mariska_lubis AriesYossi Berkarya_Info mariska_lubis
Rahmatdarmawa,DRmulyana NoelzAriq1 libertees_id vidi_perdana Th0wie bagus_alit
charocke,jokowi
deydelramsah1,WanJisoo
Ndootilicious,priaprematur
diatius,kumparan
WinotoDeddy,OposisiCerdas
OpiniRakyat2,OposisiCerdas
xylcop,GAOFEI_LIAO
andhy_yoo,kompascom
alba_agathis,MMC_IDN
Aurelia22945094,MMC_IDN
asuprijanto,SCTV vidio
dwihendry,MMC_IDN
TomJerry525,CNNIndonesia
TomJerry525,msaid_didu mohmahfudmd
Wisnu_DYNA_Solo,detikcom detikfinance
hermantwitt,Beritasatu
MarisaPribadi,herususetyo99
ariefdwiutama,YouTube
IlhamKusno2,Quvvatt
IlhamKusno2,CNNIndonesia
RahmaAy86090311,_Mr_J03n4______
hyucksthigh,citizenstores
jjsan88,dkongkee
CASIGO2,AzWiryadi P_Eneste fuadi_syaiful cagubnyinyir2 hnurwahid MardaniAliSera
dkongkee,jjsan88
OrangWaras_2020,GusMaulana16 lalanangjagat69
lalanangjagat69,GusMaulana16 OrangWaras_2020
lalanangjagat69,RoellyRosuli
GusMaulana16,MrsRachelIn
GusMaulana16,OrangWaras_2020 lalanangjagat69
GusMaulana16,MrsRachelIn
deensdaily,WikiDPR
jojoe_gaza,geloraco
ahqidtyasp,AgusYudhoyono
Wordgasmyc,xxuntitledp
BanasPaijo,Yani73044989 CemenRezim darwinisofianti RiniYun36882153 aniesbaswedan BangAriza DKIJakarta
tintasiyasi_id,JasSastra
natassssssya,sitililitt printilanday6
quintta1217,KakekHalal Bengkeltanah1 jokowi PerekonomianRI airlangga DKIJakarta
quintta1217,Nadjib_178 amanidelm2nd
quintta1217,Pencerah__
Burakos7,ChatibBasri
Burakos7,ChristWamea aksialfatih
sibaranm2,drpriono1 KemenkesRI jokowi
Sopian38997820,Dennysiregar7 aniesbaswedan ridwankamil
Sopian38997820,Dennysiregar7 jokowi aniesbaswedan
Vanyudha2,Waras4ever msaid_didu
lumbalumba_ijo,surelynoturtype tahunbaru2020 timah29
colamilochim,ZeroNamjin
edor4h4,podoradong
CakBambangelf,kokokdirgantoro
dsr004,fadjroeL JubirPresidenRI jokowi
Hendri_Mantis,AgusYudhoyono PDemokrat
jumrianii_,geloraco
nasirltp,duha_putrawan
Lentera18150745,Jims_Talona amberrein77 carolinewiyono Dennysiregar7 aniesbaswedan ridwankamil
ntie_wijaya,MMC_IDN
AgungPr86423327,geloraco aniesbaswedan
Hirman08,dapitnih
Hirman08,TofaTofa_id
fa_khadijah,YouTube
jodohnyamarkeuu,Pak_GuruSD Arnolduswea_ qcecan
jodohnyamarkeuu,GiveawayWoy
SalmaBrecht,AirinAirin_NZ
bawono_geo,lintang_ayoe 04_adisetiawan retno_setyowat
